"Quarter";"Agriculture, forestry and fishing";"Manufacturing industry, excl. construction";"Construction";"Service industries"
"1st Quarter 2010";-1.1;-3.6;0;0.7
"2nd Quarter 2010";-1.3;-2.3;1;1.1
"3rd Quarter 2010";-0.9;-0.9;1.1;1.2
"4th Quarter 2010";-0.6;0;1.2;1.2
"1st Quarter 2011";0.2;1.2;2.1;1.1
"2nd Quarter 2011";1.9;1.8;1.9;0.9
"3rd Quarter 2011";0.3;2.2;1.5;0.8
"4th Quarter 2011";0.2;2.5;1.5;0.8
"1st Quarter 2012";-0.5;2.3;2;1.1
"2nd Quarter 2012";-0.4;1.8;1.4;1.1
"3rd Quarter 2012";-0.3;1.5;1.2;1.1
"4th Quarter 2012";-0.2;1;1;1.1
"1st Quarter 2013";-1.1;0.8;0.7;1
"2nd Quarter 2013";-1.5;0.5;0.5;0.9
"3rd Quarter 2013";-0.4;0.2;0.7;0.8
"4th Quarter 2013";-1.1;0.1;0.5;0.9
"1st Quarter 2014";-1;0.1;0.8;1.1
"2nd Quarter 2014";1.3;0.5;0.7;1.2
"3rd Quarter 2014";-0.6;0.7;0.2;1
"4th Quarter 2014";-1.1;0.8;0.2;0.8
"1st Quarter 2015";-1.3;0.6;0;0.8
"2nd Quarter 2015";-0.7;0.2;-0.2;1
"3rd Quarter 2015";-0.2;0.2;-0.1;1.2
"4th Quarter 2015";-0.3;0.1;0;1.5
"1st Quarter 2016";-1;0.3;0.5;1.6
"2nd Quarter 2016";-1.8;0.3;0.7;1.6
"3rd Quarter 2016";-2.4;0.3;0.9;1.6
"4th Quarter 2016";-2.5;0.3;1.2;1.7
"1st Quarter 2017";-2.2;0.6;1.8;1.7
"2nd Quarter 2017";-2.6;0.8;1.6;1.6
"3rd Quarter 2017";-2.5;1;1.3;1.6
"4th Quarter 2017";-2.5;1.2;1.3;1.4
"1st Quarter 2018";-1.4;1.7;1.7;1.5
"2nd Quarter 2018";0.3;1.7;1.5;1.3
"3rd Quarter 2018";-0.5;1.8;1.6;1.1
"4th Quarter 2018";-0.2;1.8;1.7;1
"1st Quarter 2019";-0.4;1.4;1.7;1
"2nd Quarter 2019";-1.8;1;1.4;1
"3rd Quarter 2019";-1;0.4;1.2;0.9
"4th Quarter 2019";-1.2;-0.3;1.2;1
"1st Quarter 2020";-1.1;-1;1.7;0.9
"2nd Quarter 2020";-2.5;-2.1;1.1;-0.9
"3rd Quarter 2020";-2.4;-2.9;1;-0.9
"4th Quarter 2020";-2.6;-2.8;1.2;-1
"1st Quarter 2021";-2.2;-2.5;1.1;-1.2
"2nd Quarter 2021";-1.8;-1.6;1.4;0.6
"3rd Quarter 2021";-0.2;-0.9;0.8;1.2
"4th Quarter 2021";0;-0.4;0.5;1.4
"1st Quarter 2022";0;0;0.7;1.9
"2nd Quarter 2022";-0.2;0.1;0.5;1.9
"3rd Quarter 2022";-1.2;0.3;0.9;1.4
"4th Quarter 2022";-0.5;0.4;0.9;1.3
"1st Quarter 2023";-0.7;0.5;0.8;1
"2nd Quarter 2023";-1.8;0.4;0.4;0.9
"3rd Quarter 2023";-1.3;0.2;0;0.8
"4th Quarter 2023";-0.7;0;-0.5;0.6
"1st Quarter 2024";-0.6;-0.4;-1;0.4
"2nd Quarter 2024";-0.7;-0.6;-1.3;0.4
"3rd Quarter 2024";-1.5;-0.8;-1.5;0.4
"4th Quarter 2024";-1.3;-1.2;-1.4;0.5
"1st Quarter 2025";-0.9;-1.5;-1;0.6
"2nd Quarter 2025";-0.5;-1.7;-0.8;0.5
"3rd Quarter 2025";-0.2;-1.9;-0.7;0.4
