Years,Quarters,Persons in employment,Rate of change on previous quarter,Rate of change on previous year's quarter
2021,Quarter 1,44589,-1,-1.3
,Quarter 2,44882,0.7,0.2
,Quarter 3,45200,0.7,0.8
,Quarter 4,45493,0.6,1
2022,Quarter 1,45249,-0.5,1.5
,Quarter 2,45561,0.7,1.5
,Quarter 3,45725,0.4,1.2
,Quarter 4,45980,0.6,1.1
2023,Quarter 1,45657,-0.7,0.9
,Quarter 2,45915,0.6,0.8
,Quarter 3,45998,0.2,0.6
,Quarter 4,46169,0.4,0.4
2024,Quarter 1,45752,-0.9,0.2
,Quarter 2,45980,0.5,0.1
,Quarter 3,46020,0.1,0
,Quarter 4,46194,0.4,0.1
2025,Quarter 1,45792,-0.9,0.1
,Quarter 2,45995,0.4,0
,Quarter 3,46004,0,0
,Quarter 4,46136,0.3,-0.1
