reporter_name,reporter_code,year,classification,classification_version,product_code,mtn_categories,partner_code,partner_name,value
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C052,Barbados,25684393
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C288,Ghana,225544894
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C690,Seychelles,23700
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C410,"Korea, Republic of",1664088268
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C659,"Saint Kitts and Nevis",929130
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C344,"Hong Kong, China",108312838
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C716,Zimbabwe,44656080
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C554,"New Zealand",3610116639
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C704,"Viet Nam",3064947582
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C748,Eswatini,14862806
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C422,"Lebanese Republic",42014741
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C516,Namibia,3417325
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C268,Georgia,14709446
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C807,"North Macedonia",34617761
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C478,Mauritania,50761
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C882,Samoa,3417475
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C120,Cameroon,35595792
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C768,Togo,73081068
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C706,Somalia,736370
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C364,Iran,376840
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C508,Mozambique,25663773
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C716,Zimbabwe,24429351
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C764,Thailand,3530617676
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C004,Afghanistan,12797646
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C728,"South Sudan",86237
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C496,Mongolia,15111401
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C012,Algeria,9872054
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C308,Grenada,3612347
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C024,Angola,124220
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C364,Iran,29780
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C214,"Dominican Republic",1279243120
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C212,Dominica,461873
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C608,Philippines,1402319571
"United States of America",C840,2024,MTN,MT4,AG,"Agricultural products",C548,Vanuatu,11714387
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C748,Eswatini,15692250
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C410,"Korea, Republic of",1322081055
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C792,Türkiye,1817737539
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C048,"Bahrain, Kingdom of",4925826
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C242,Fiji,190041988
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C352,Iceland,45946194
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C562,Niger,834866
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C178,Congo,2338462
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C324,Guinea,703270
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C600,Paraguay,105378691
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C760,"Syrian Arab Republic",4151377
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",U918,"European Union",31795095835
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C706,Somalia,1070949
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C458,Malaysia,964375350
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C090,"Solomon Islands",1124968
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C410,"Korea, Republic of",1159593808
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C558,Nicaragua,1168242525
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C795,Turkmenistan,1189811
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C504,Morocco,217294275
"United States of America",C840,2020,MTN,MT4,AG,"Agricultural products",C400,Jordan,21226241
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C222,"El Salvador",373024529
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C446,"Macao, China",2247122
"United States of America",C840,2022,MTN,MT4,AG,"Agricultural products",C466,Mali,752622
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C090,"Solomon Islands",643452
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C384,"Côte d'Ivoire",740910736
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C266,Gabon,5963
"United States of America",C840,2023,MTN,MT4,AG,"Agricultural products",C398,Kazakhstan,23550414
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C218,Ecuador,1436728124
"United States of America",C840,2021,MTN,MT4,AG,"Agricultural products",C324,Guinea,666030
